,gis,soil
1887,001450002,C
1888,001450003,C
1889,001450004,C
1890,001460001,C
1891,001460002,C
1892,001460003,C
1893,001460004,C
1894,001460005,C
1900,001470004,C
1906,001470010,C
1908,001470012,D
1910,001470014,D
1912,001470016,B
1920,001470024,B
1936,001480014,C
1940,001480018,C
1942,001480020,D
1944,001480022,D
1946,001480024,B
1949,001480027,D
1950,001480028,D
1952,001480030,B
1955,001500001,C
1956,001500002,C
1957,001500003,C
1958,001500004,C
1959,001500005,C
1960,001510001,C
1961,001510002,C
1962,001510003,A
1963,001510004,A
1969,001520005,C
1974,001520010,C
1975,001520011,C
1976,001520012,C
1977,001520013,A
1978,001520014,A
1981,001520017,B
1990,001530001,C
1993,001540001,C
1994,001540002,C
1995,001540003,C
1996,001540004,C
2000,001550001,A
2001,001550002,A
2008,001580001,A
2009,001580002,A
2011,001590001,C
2012,001590002,C
2013,001590003,C
2036,001620001,A
2037,001620002,A
2043,001650001,C
2053,001670001,A
2054,001670002,A
2058,001680004,C
2059,001680005,C
2061,001680007,C
2064,001680010,A
2067,001680013,C
2068,001680014,C
2069,001680015,B
2070,001680016,B
2072,001680018,A
2073,001680019,A
2107,001740002,C
2108,001740003,C
2110,001740005,B
2112,001740007,B
2135,001770001,B
2136,001770002,B
2137,001770003,A
2138,001770004,A
2139,001770005,B
2140,001770006,B
2141,001770007,B
2142,001770008,A
2143,001770009,A
2158,001810001,B
2159,001810002,B
2160,001810003,B
2161,001810004,B
2176,001830010,B
2177,001830011,B
2187,001840001,B
2188,001840002,B
2189,001840003,C
2223,001900001,D
2224,001900002,D
2231,001910001,B
2232,001910002,B
2241,001920001,C
2257,001940002,A
2259,001940004,A
2275,001950003,C
2276,001950004,C
2288,001950016,C
2289,001950017,C
2291,001950019,D
2299,001950027,C
2302,001950030,B
2305,001950033,D
2309,001970001,B
2325,001980007,C
2332,001980014,C
2341,001980023,C
2345,001980027,D
2347,001980029,B
2360,001980042,C
2364,001980046,B
2375,001990001,A
2384,002020002,C
2389,002020007,A
2390,002020008,A
2394,002020012,B
2395,002020013,B
2397,002020015,C
2398,002020016,C
2426,002030015,C
2428,002030017,A
2430,002030019,C
2431,002030020,C
2433,002030022,B
2434,002030023,B
2440,002030029,C
2460,002040002,B
2461,002040003,B
2464,002040006,B
2476,002050003,B
2477,002050004,B
2479,002050006,A
