sub,month,treshold_hid
62,6,0.09608148669010547
62,7,0.07768622802611752
62,8,0.08881277749874435
62,9,0.22956970366649926
62,10,0.36385205424409844
62,11,0.22683580110497237
62,12,0.03161780010045203
63,1,0.037460220661985955
63,2,0.03527061183550652
63,3,0.04297468405215646
63,4,0.10811121364092277
63,5,0.1743194383149448
63,6,0.13118298896690067
63,7,0.09588926780341024
63,8,0.10159438314944835
63,9,0.21500052156469407
63,10,0.46420862587763284
63,11,0.4043554663991975
63,12,0.09358988966900703
64,1,0.34503607432110533
64,2,0.2130074892806098
64,3,0.20780455454978564
64,4,0.42467308242020013
64,5,0.787067365412101
64,6,0.8457238685088138
64,7,0.5812962363030014
64,8,0.5824487851357789
64,9,0.8849516912815627
64,10,1.3034504049547402
64,11,1.4132306812767983
64,12,0.6858900428775606
65,1,0.33357599999999993
65,2,0.13776
65,3,0.0688608
65,4,0.12344400000000001
65,5,0.34790399999999994
65,6,0.5598120000000001
65,7,0.391884
65,8,0.280968
65,9,0.395364
65,10,0.6733319999999999
65,11,1.146228
65,12,0.7328039999999999
66,1,0.31760139130434784
66,2,0.1929671552795031
66,3,0.18576178881987582
66,4,0.3771190062111801
66,5,0.7028631055900622
66,6,0.7552039751552794
66,7,0.5221207453416149
66,8,0.5203319254658385
66,9,0.7939498136645963
66,10,1.2354305590062113
66,11,1.3019031055900618
66,12,0.6237257142857142
67,1,0.029683717630365376
67,2,0.02304817311103228
67,3,0.05437928343384179
67,4,0.23561546647747428
67,5,0.49576559063497694
67,6,0.28600269599148637
67,7,0.1897336644200071
67,8,0.23681078396594538
67,9,0.445470308620078
67,10,0.6500534941468606
67,11,0.5857975168499467
67,12,0.09738925860234124
68,1,0.008448412983965585
68,2,0.004162540477121627
68,3,0.002500092295658975
68,4,0.01108704262807978
68,5,0.10056122017989828
68,6,0.0410746343371138
68,7,0.018630570199452464
68,8,0.021864234649980444
68,9,0.08264259679311692
68,10,0.28249792725850603
68,11,0.29105683222526396
68,12,0.023113436057880323
69,1,0.02195818162278345
69,2,0.014990701773240194
69,3,0.012387791509940894
69,4,0.0357647716281569
69,5,0.17496580333154213
69,6,0.07076118216012896
69,7,0.052039634605051045
69,8,0.0659722729715207
69,9,0.14805459430413756
69,10,0.4943509940891993
69,11,0.31746544868350346
69,12,0.04625487372380441
70,1,0.3889097900552486
70,2,0.27533436464088396
70,3,0.2507127513812155
70,4,0.4455519116022099
70,5,1.0640088397790055
70,6,0.9054815469613259
70,7,0.632438453038674
70,8,0.7670028729281769
70,9,1.1644906077348065
70,10,2.151598674033149
70,11,1.7998408839779005
70,12,0.8073387845303867
71,1,0.1133137997911383
