,hru,soil
4582,000710024,C
4584,000720001,D
4585,000720002,D
4588,000720005,D
4589,000720006,D
4594,000730001,C
4596,000730003,C
4597,000730004,C
4598,000730005,C
4599,000730006,A
4600,000730007,A
4603,000730010,D
4604,000730011,D
4606,000730013,C
4610,000740002,C
4611,000740003,C
4612,000740004,A
4613,000740005,A
4614,000740006,D
4626,000740018,D
4627,000740019,D
4639,000750004,D
4651,000750016,D
4658,000750023,D
4659,000750024,C
4660,000750025,C
4665,000750030,C
4666,000750031,C
4668,000750033,A
4669,000750034,A
4673,000750038,B
4684,000750049,B
4709,000760020,D
4713,000760024,C
4715,000760026,D
4716,000760027,D
4717,000760028,C
4718,000760029,C
4720,000760031,A
4721,000760032,A
4724,000770001,C
4725,000770002,C
4729,000770006,D
4730,000770007,D
4733,000770010,C
4734,000770011,C
4735,000770012,D
4736,000770013,D
4740,000770017,C
4751,000780003,D
4752,000780004,C
4753,000780005,C
4756,000780008,A
4757,000780009,A
4758,000780010,D
4759,000780011,D
4760,000780012,D
4766,000780018,D
4767,000780019,D
4781,000790008,D
4786,000790013,D
4787,000790014,D
4788,000790015,C
4790,000790017,A
4791,000790018,A
4793,000790020,D
4794,000790021,D
4808,000800001,A
4814,000800007,A
4821,000800014,A
4822,000800015,A
4824,000800017,D
4838,000810007,D
4839,000810008,D
4841,000810010,D
4842,000810011,D
4844,000810013,D
4856,000820001,C
4857,000820002,C
4860,000820005,A
4861,000820006,D
4862,000820007,D
4863,000820008,C
4865,000820010,A
4867,000820012,D
4869,000830001,D
4875,000840001,D
4876,000840002,D
4877,000840003,D
4878,000840004,D
4889,000850007,B
4908,000850026,D
4909,000850027,D
4913,000850031,C
4915,000850033,C
4919,000850037,D
4928,000850046,D
4929,000850047,D
4934,000860001,D
4947,000860014,D
4960,000860027,D
4962,000860029,C
4964,000860031,D
4966,000860033,D
4969,000860036,D
4970,000860037,C
4971,000860038,C
4978,000870006,D
4979,000870007,D
4980,000870008,C
4981,000870009,C
4984,000870012,D
4985,000870013,D
4989,000870017,D
4990,000870018,D
5007,000880010,D
5008,000880011,D
5009,000880012,C
5013,000880016,D
5014,000880017,D
5015,000880018,C
5017,000880020,C
5018,000880021,A
5019,000880022,A
5044,000890009,C
5045,000890010,C
5046,000890011,C
5047,000890012,C
5049,000890014,D
5050,000890015,D
5051,000890016,D
5061,000890026,D
5062,000900001,C
5063,000900002,C
5065,000900004,D
5067,000900006,D
5068,000900007,C
5069,000900008,C
5070,000900009,A
5071,000900010,A
5074,000900013,D
5080,000900019,C
5091,000910011,C
5092,000910012,C
5093,000910013,C
5094,000910014,C
5095,000910015,D
5096,000910016,D
5099,000910019,D
5100,000910020,D
5102,000910022,D
5114,000910034,D
5117,000920001,C
5119,000920003,D
5120,000920004,D
5121,000920005,C
5122,000920006,C
5123,000920007,D
5124,000920008,D
5125,000920009,D
5130,000920014,D
5132,000930002,D
5136,000930006,D
5156,000930026,D
5161,000930031,D
5163,000930033,D
5167,000930037,D
5172,000930042,B
5193,000940001,C
5194,000940002,C
5196,000940004,D
5198,000940006,C
5199,000940007,D
5203,000950001,C
5204,000950002,C
5205,000950003,D
5206,000950004,D
5207,000950005,D
5208,000950006,D
5210,000950008,C
5212,000950010,D
5214,000950012,D
5222,000960002,C
5223,000960003,C
5224,000960004,D
5226,000960006,A
5228,000960008,D
5229,000960009,D
5231,000960011,D
5233,000960013,D
5241,000960021,D
5258,000970015,D
5259,000970016,D
5261,000970018,C
5262,000970019,C
5263,000970020,D
5265,000970022,D
5272,000970029,C
5277,000980001,D
5279,000980003,D
5280,000980004,D
5281,000980005,D
5282,000980006,D
5283,000980007,D
5284,000980008,D
5285,000980009,D
5287,000980011,D
5289,000990001,C
5290,000990002,C
5291,000990003,D
5292,000990004,D
5293,000990005,D
5294,000990006,D
5295,000990007,D
5296,000990008,D
5297,000990009,D
5299,001000001,D
5300,001000002,D
5302,001000004,D
5305,001010003,D
5306,001010004,D
5307,001010005,D
5308,001010006,D
5315,001020003,D
5316,001020004,D
5317,001020005,D
5318,001020006,D
5325,001030003,D
5326,001030004,D
5328,001030006,D
5329,001030007,D
5330,001030008,D
5335,001040001,D
5336,001040002,D
5340,001040006,C
5342,001040008,A
5343,001040009,A
5351,001050004,D
5363,001050016,B
5374,001050027,D
5375,001050028,D
5379,001050032,D
5381,001050034,D
5387,001050040,B
5388,001050041,B
5398,001050051,D
5413,001050066,D
5417,001060001,A
5418,001060002,A
5419,001060003,D
5420,001060004,D
5422,001060006,D
5424,001060008,A
5428,001070002,D
5429,001070003,D
5430,001070004,C
5431,001070005,C
5432,001070006,A
5434,001070008,D
5440,001080001,D
5444,001080005,D
5445,001080006,D
5448,001080009,D
5450,001080011,D
5454,001080015,D
