sub,month,treshold_hid,sub,month
12,5,2.147712,12,5
12,6,1.658688,12,6
12,7,1.0211712,12,7
12,8,0.5044224,12,8
12,9,0.6138431999999999,12,9
12,10,1.6190208,12,10
12,11,2.5607040000000003,12,11
12,12,2.2590719999999997,12,12
13,1,1.9184461016949153,13,1
13,2,1.699810169491525,13,2
13,3,2.1707633898305083,13,3
13,4,2.874337627118644,13,4
13,5,2.7806888135593217,13,5
13,6,2.082313220338983,13,6
13,7,1.2497979661016951,13,7
13,8,0.5581586440677966,13,8
13,9,0.6508922033898306,13,9
13,10,1.9371172881355931,13,10
13,11,2.974722711864407,13,11
13,12,2.568349830508474,13,12
14,1,2.4247058823529413,14,1
14,2,2.325091764705882,14,2
14,3,2.5730258823529413,14,3
14,4,3.169482352941176,14,4
14,5,2.9932517647058825,14,5
14,6,2.46587294117647,14,6
14,7,1.654051764705882,14,7
14,8,0.8819576470588235,14,8
14,9,0.978395294117647,14,9
14,10,2.2716423529411762,14,10
14,11,3.5172000000000008,14,11
14,12,3.3164894117647057,14,12
15,1,2.41704,15,1
15,2,2.104457142857143,15,2
15,3,2.4420342857142856,15,3
15,4,3.1526742857142858,15,4
15,5,3.285051428571429,15,5
15,6,2.7555428571428573,15,6
15,7,1.8221142857142856,15,7
15,8,0.8968319999999999,15,8
15,9,1.0162028571428572,15,9
15,10,2.3821714285714286,15,10
15,11,3.4124914285714287,15,11
15,12,3.1798285714285717,15,12
16,1,1.9232876712328766,16,1
16,2,1.7054334246575347,16,2
16,3,2.1469019178082194,16,3
16,4,2.9001205479452055,16,4
16,5,2.7531221917808217,16,5
16,6,2.0678005479452057,16,6
16,7,1.2283002739726028,16,7
16,8,0.5537490410958903,16,8
16,9,0.6485917808219178,16,9
16,10,1.963765479452055,16,10
16,11,2.982338630136986,16,11
16,12,2.5675397260273973,16,12
17,1,2.9543225806451616,17,1
17,2,2.5609238709677418,17,2
17,3,2.8167793548387094,17,3
17,4,3.5744516129032253,17,4
17,5,3.661966451612903,17,5
17,6,3.0501290322580643,17,6
17,7,1.9919380645161293,17,7
17,8,1.0546374193548387,17,8
17,9,1.0835535483870968,17,9
17,10,2.5488,17,10
17,11,3.8438941935483872,17,11
17,12,3.8232,17,12
18,1,2.276561454545454,18,1
18,2,2.2622661818181817,18,2
18,3,2.664261818181818,18,3
18,4,3.3809890909090914,18,4
18,5,3.122024727272727,18,5
18,6,2.466248727272727,18,6
18,7,1.6705047272727274,18,7
18,8,0.9164683636363635,18,8
18,9,1.042376727272727,18,9
18,10,2.424384,18,10
18,11,3.516637090909091,18,11
18,12,3.1669527272727276,18,12
19,1,1.8653845544554455,19,1
19,2,1.6506677227722775,19,2
19,3,2.13502099009901,19,3
19,4,2.8529536633663364,19,4
19,5,2.698160792079208,19,5
19,6,2.0063619801980197,19,6
19,7,1.1924055445544555,19,7
19,8,0.5355944554455445,19,8
19,9,0.6125845544554454,19,9
19,10,1.8977203960396039,19,10
19,11,2.946453861386139,19,11
19,12,2.493024950495049,19,12
20,1,2.7720533333333335,20,1
20,2,2.3380266666666665,20,2
20,3,2.6088533333333332,20,3
20,4,3.2601066666666663,20,4
20,5,3.4513066666666665,20,5
20,6,2.8919999999999995,20,6
20,7,1.8852266666666668,20,7
20,8,0.9173333333333331,20,8
20,9,0.9635733333333334,20,9
20,10,2.3499733333333332,20,10
20,11,3.531253333333334,20,11
20,12,3.442986666666666,20,12
21,1,1.8418385454545452,21,1
21,2,1.6613934545454545,21,2
21,3,2.1284770909090907,21,3
21,4,2.9248756363636366,21,4
21,5,2.6829032727272724,21,5
21,6,1.9907607272727272,21,6
21,7,1.1732596363636363,21,7
21,8,0.5307578181818181,21,8
21,9,0.5999301818181817,21,9
21,10,1.8853003636363637,21,10
21,11,2.9516858181818177,21,11
21,12,2.5249745454545454,21,12
22,1,1.8284272941176467,22,1
22,2,1.6236084705882354,22,2
22,3,2.1086682352941173,22,3
22,4,2.8785938823529413,22,4
22,5,2.6708781176470593,22,5
22,6,1.9575698823529413,22,6
22,7,1.1576583529411764,22,7
22,8,0.5218559999999999,22,8
22,9,0.5870117647058823,22,9
22,10,1.8672564705882353,22,10
22,11,2.959606588235294,22,11
22,12,2.474902588235294,22,12
23,1,1.7825156129032256,23,1
23,2,1.6345765161290324,23,2
23,3,2.0831876129032256,23,3
23,4,2.8915014193548387,23,4
23,5,2.6475189677419353,23,5
23,6,1.9442787096774192,23,6
23,7,1.1359091612903227,23,7
23,8,0.5135838967741935,23,8
23,9,0.5753682580645161,23,9
23,10,1.8704763870967742,23,10
23,11,2.951089548387097,23,11
23,12,2.482745806451613,23,12
24,1,2.803093095768374,24,1
24,2,2.319330066815145,24,2
24,3,2.4419064587973276,24,3
24,4,3.207575946547884,24,4
24,5,3.442530066815145,24,5
24,6,3.025058351893096,24,6
24,7,1.9721906458797327,24,7
24,8,0.8760267260579064,24,8
24,9,0.7355641870824052,24,9
24,10,2.042426726057906,24,10
24,11,3.2793514476614702,24,11
24,12,3.3341933184855232,24,12
25,1,1.9394849032258064,25,1
25,2,1.6652345806451616,25,2
25,3,1.8003530322580645,25,3
25,4,2.473994322580645,25,4
25,5,2.556994064516129,25,5
25,6,1.9216474838709678,25,6
25,7,1.0188510967741935,25,7
25,8,0.3310402064516129,25,8
25,9,0.38752350967741933,25,9
25,10,1.5624464516129026,25,10
25,11,2.8916686451612907,25,11
25,12,2.6299045161290318,25,12
26,1,2.2386827184466016,26,1
26,2,2.0439052427184468,26,2
26,3,2.689975922330097,26,3
26,4,3.5308240776699034,26,4
26,5,3.270785242718447,26,5
26,6,2.476660194174757,26,6
26,7,1.5261763106796118,26,7
26,8,0.71673413592233,26,8
26,9,0.7126573980582523,26,9
26,10,2.058333203883495,26,10
26,11,3.39493281553398,26,11
26,12,3.047655145631068,26,12
27,1,2.3680162025316456,27,1
27,2,2.2420253164556962,27,2
27,3,2.513693164556962,27,3
27,4,3.1847696202531646,27,4
27,5,2.9905336708860757,27,5
27,6,2.39010835443038,27,6
27,7,1.5730487088607594,27,7
27,8,0.812203746835443,27,8
27,9,0.920105316455696,27,9
27,10,2.262586329113924,27,10
27,11,3.4901225316455693,27,11
27,12,3.315572658227848,27,12
28,1,2.1908438709677416,28,1
28,2,1.8801135483870968,28,2
28,3,2.2745806451612904,28,3
28,4,3.0378425806451617,28,4
28,5,2.958967741935484,28,5
28,6,2.225341935483871,28,6
28,7,1.2782864516129033,28,7
28,8,0.5237264516129032,28,8
28,9,0.5638296774193547,28,9
28,10,1.8228232258064516,28,10
28,11,3.167070967741936,28,11
28,12,2.939396129032258,28,12
29,1,1.8405704347826086,29,1
29,2,1.7133495652173916,29,2
29,3,2.125815652173913,29,3
29,4,2.945175652173913,29,4
29,5,2.7074504347826083,29,5
